macro,ln_prob,energy
0,-274.728,-8.28473e-15
1,-270.056,-0.00060574
2,-266.069,-0.030338
3,-262.48,-0.0899639
4,-259.172,-0.179561
5,-256.076,-0.297652
6,-253.149,-0.444693
7,-250.365,-0.619972
8,-247.707,-0.825763
9,-245.156,-1.06267
10,-242.702,-1.32734
11,-240.331,-1.62101
12,-238.036,-1.94423
13,-235.815,-2.29304
14,-233.662,-2.67146
15,-231.566,-3.07486
16,-229.526,-3.51153
17,-227.536,-3.9839
18,-225.595,-4.4711
19,-223.695,-4.99134
20,-221.84,-5.53806
21,-220.027,-6.11922
22,-218.256,-6.73521
23,-216.517,-7.38205
24,-214.81,-8.04652
25,-213.132,-8.74683
26,-211.484,-9.47864
27,-209.868,-10.2345
28,-208.274,-11.0136
29,-206.706,-11.8248
30,-205.165,-12.6694
31,-203.644,-13.5386
32,-202.143,-14.4309
33,-200.675,-15.3496
34,-199.225,-16.2981
35,-197.793,-17.2739
36,-196.378,-18.2708
37,-194.982,-19.289
38,-193.606,-20.3409
39,-192.252,-21.4467
40,-190.914,-22.563
41,-189.59,-23.7094
42,-188.284,-24.8721
43,-186.985,-26.0656
44,-185.701,-27.2653
45,-184.431,-28.5101
46,-183.178,-29.809
47,-181.936,-31.1182
48,-180.71,-32.4788
49,-179.494,-33.8351
50,-178.29,-35.2292
51,-177.1,-36.6617
52,-175.916,-38.0979
53,-174.742,-39.5789
54,-173.58,-41.0608
55,-172.427,-42.5789
56,-171.285,-44.1462
57,-170.156,-45.6929
58,-169.035,-47.2962
59,-167.924,-48.9461
60,-166.827,-50.589
61,-165.739,-52.2369
62,-164.652,-53.9465
63,-163.569,-55.7064
64,-162.495,-57.4684
65,-161.43,-59.2633
66,-160.375,-61.083
67,-159.33,-62.9474
68,-158.291,-64.8188
69,-157.255,-66.703
70,-156.225,-68.6546
71,-155.202,-70.6173
72,-154.183,-72.6397
73,-153.172,-74.6022
74,-152.169,-76.6145
75,-151.178,-78.6866
76,-150.183,-80.8069
77,-149.194,-82.9127
78,-148.212,-85.0583
79,-147.239,-87.2019
80,-146.272,-89.3908
81,-145.311,-91.5736
82,-144.352,-93.8167
83,-143.399,-96.0999
84,-142.453,-98.345
85,-141.511,-100.671
86,-140.565,-102.959
87,-139.627,-105.291
88,-138.696,-107.652
89,-137.777,-110.07
90,-136.858,-112.544
91,-135.935,-114.971
92,-135.023,-117.421
93,-134.118,-119.965
94,-133.212,-122.516
95,-132.304,-125.04
96,-131.405,-127.586
97,-130.51,-130.201
98,-129.617,-132.806
99,-128.728,-135.435
100,-127.843,-138.104
101,-126.964,-140.824
102,-126.079,-143.587
103,-125.207,-146.353
104,-124.332,-149.154
105,-123.463,-151.982
106,-122.597,-154.843
107,-121.73,-157.664
108,-120.866,-160.565
109,-120.009,-163.408
110,-119.156,-166.322
111,-118.302,-169.25
112,-117.446,-172.226
113,-116.595,-175.223
114,-115.75,-178.229
115,-114.904,-181.223
116,-114.065,-184.265
117,-113.225,-187.34
118,-112.391,-190.463
119,-111.554,-193.602
120,-110.721,-196.818
121,-109.895,-199.974
122,-109.073,-203.17
123,-108.244,-206.405
124,-107.417,-209.714
125,-106.599,-212.982
126,-105.78,-216.248
127,-104.966,-219.498
128,-104.152,-222.777
129,-103.339,-226.197
130,-102.527,-229.606
131,-101.723,-232.999
132,-100.914,-236.418
133,-100.106,-239.873
134,-99.3069,-243.349
135,-98.512,-246.888
136,-97.7118,-250.445
137,-96.9185,-254.013
138,-96.1269,-257.594
139,-95.3392,-261.21
140,-94.5504,-264.827
141,-93.764,-268.443
142,-92.9807,-272.092
143,-92.1974,-275.841
144,-91.4233,-279.621
145,-90.6452,-283.423
146,-89.8655,-287.218
147,-89.0875,-291.062
148,-88.3133,-294.93
149,-87.5384,-298.793
150,-86.7634,-302.606
151,-85.9907,-306.483
152,-85.2227,-310.369
153,-84.4533,-314.334
154,-83.6865,-318.277
155,-82.9253,-322.282
156,-82.163,-326.257
157,-81.4016,-330.29
158,-80.6405,-334.361
159,-79.8833,-338.374
160,-79.1276,-342.461
161,-78.3733,-346.444
162,-77.6242,-350.508
163,-76.8795,-354.644
164,-76.1335,-358.89
165,-75.3875,-363.079
166,-74.6438,-367.289
167,-73.902,-371.577
168,-73.1599,-375.915
169,-72.4213,-380.281
170,-71.6852,-384.588
171,-70.9599,-388.879
172,-70.2293,-393.245
173,-69.4968,-397.629
174,-68.7684,-402.063
175,-68.0393,-406.55
176,-67.3149,-410.796
177,-66.5953,-415.176
178,-65.8729,-419.771
179,-65.1508,-424.328
180,-64.4317,-428.856
181,-63.7166,-433.443
182,-63.0036,-438.149
183,-62.2955,-442.851
184,-61.5963,-447.538
185,-60.8928,-452.272
186,-60.1864,-456.942
187,-59.4807,-461.621
188,-58.7836,-466.382
189,-58.0879,-471.172
190,-57.3872,-475.898
191,-56.692,-480.642
192,-56.0002,-485.567
193,-55.3064,-490.55
194,-54.6172,-495.522
195,-53.9242,-500.479
196,-53.2347,-505.384
197,-52.5525,-510.363
198,-51.8762,-515.418
199,-51.1991,-520.537
200,-50.527,-525.626
201,-49.8577,-530.609
202,-49.1865,-535.467
203,-48.5145,-540.641
204,-47.8475,-545.716
205,-47.1886,-550.969
206,-46.53,-556.255
207,-45.8729,-561.473
208,-45.2213,-566.898
209,-44.5675,-572.222
210,-43.9146,-577.513
211,-43.2744,-582.784
212,-42.6301,-588.159
213,-41.983,-593.609
214,-41.3441,-599.128
215,-40.7009,-604.574
216,-40.065,-609.987
217,-39.4328,-615.446
218,-38.8091,-620.987
219,-38.1837,-626.615
220,-37.5581,-632.131
221,-36.9351,-637.845
222,-36.3196,-643.44
223,-35.7111,-648.983
224,-35.1003,-654.596
225,-34.4874,-660.31
226,-33.8854,-666.021
227,-33.2872,-671.86
228,-32.6944,-677.591
229,-32.1008,-683.296
230,-31.5141,-689.015
231,-30.9235,-694.891
232,-30.3455,-700.584
233,-29.7769,-706.284
234,-29.2039,-712.3
235,-28.632,-718.125
236,-28.0706,-724.008
237,-27.5135,-730.097
238,-26.9571,-736.17
239,-26.409,-742.395
240,-25.8578,-748.618
241,-25.3089,-754.755
242,-24.77,-760.966
243,-24.2325,-767.03
244,-23.7152,-773.178
245,-23.1868,-779.454
246,-22.662,-785.686
247,-22.1434,-792.098
248,-21.6391,-798.556
249,-21.1347,-804.77
250,-20.6374,-811.054
251,-20.1398,-817.256
252,-19.6424,-823.59
253,-19.1525,-830.022
254,-18.6654,-836.612
255,-18.189,-843.081
256,-17.7079,-849.733
257,-17.2406,-856.229
258,-16.7792,-862.731
259,-16.3269,-868.951
260,-15.878,-875.549
261,-15.4408,-882.224
262,-15.0022,-888.896
263,-14.5725,-895.68
264,-14.1493,-902.398
265,-13.7292,-909.172
266,-13.3139,-915.894
267,-12.9009,-922.628
268,-12.505,-929.274
269,-12.1128,-936.191
270,-11.7175,-943.05
271,-11.3424,-949.773
272,-10.9775,-956.702
273,-10.6141,-963.846
274,-10.2505,-970.833
275,-9.89154,-977.858
276,-9.55304,-984.879
277,-9.2123,-991.995
278,-8.88249,-998.911
279,-8.55253,-1005.92
280,-8.25103,-1013.18
281,-7.94507,-1020.3
282,-7.64484,-1027.41
283,-7.35172,-1034.61
284,-7.07449,-1041.97
285,-6.80217,-1049.06
286,-6.53579,-1056.2
287,-6.28147,-1063.35
288,-6.03493,-1070.78
289,-5.80223,-1078.12
290,-5.57938,-1085.55
291,-5.35288,-1092.98
292,-5.14318,-1100.63
293,-4.93815,-1108.02
294,-4.74574,-1115.23
295,-4.56959,-1122.22
296,-4.4095,-1129.84
297,-4.2587,-1137.18
298,-4.11139,-1145.02
299,-3.97272,-1152.88
300,-3.84912,-1160.6
301,-3.72352,-1168.14
302,-3.60516,-1175.71
303,-3.52008,-1183.41
304,-3.43314,-1191.13
305,-3.33592,-1198.94
306,-3.2703,-1206.38
307,-3.21791,-1214.23
308,-3.17078,-1222.17
309,-3.1377,-1229.54
310,-3.11688,-1237.32
311,-3.11006,-1245.41
312,-3.10815,-1253.21
313,-3.13573,-1261.32
314,-3.17025,-1269.65
315,-3.22056,-1277.56
316,-3.27629,-1285.5
317,-3.34069,-1293.48
318,-3.42079,-1301.58
319,-3.51054,-1309.44
320,-3.63473,-1316.71
321,-3.76382,-1324.78
322,-3.90973,-1332.68
323,-4.05671,-1340.68
324,-4.23651,-1348.73
325,-4.43185,-1356.7
326,-4.62973,-1365.11
327,-4.8416,-1373.47
328,-5.07997,-1381.68
329,-5.3113,-1389.93
330,-5.56414,-1398.41
331,-5.82605,-1407.43
332,-6.10935,-1415.9
333,-6.41147,-1424.01
334,-6.72248,-1432.38
335,-7.0537,-1439.51
336,-7.40823,-1446.51
337,-7.77609,-1455.14
338,-8.17408,-1463.67
339,-8.5866,-1472.34
340,-9.02769,-1480.27
341,-9.46795,-1489.81
342,-9.92414,-1499.61
343,-10.3776,-1508.31
344,-10.8758,-1516.64
345,-11.3834,-1525.23
346,-11.941,-1533.04
347,-12.5187,-1541.63
348,-13.0806,-1550.83
349,-13.6431,-1559.47
350,-14.2138,-1568.23
351,-14.8176,-1577.15
352,-15.4605,-1585.97
353,-16.1405,-1594.31
354,-16.8258,-1603.01
355,-17.5295,-1611.74
356,-18.2533,-1620.67
357,-18.9966,-1629.69
358,-19.7617,-1637.98
359,-20.5504,-1646.38
360,-21.3574,-1654.07
361,-22.2128,-1663.08
362,-23.0534,-1671.85
363,-23.9334,-1680.19
364,-24.8335,-1689.17
365,-25.7974,-1699.57
366,-26.7744,-1709.57
367,-27.7478,-1718.02
368,-28.733,-1726.4
369,-29.7371,-1734.63
370,-30.8093,-1743.22
